Accident_ID,Date,Hour,Time_of_Day,Weather,Road_Condition,Severity,Vehicle_Type,Speed_Limit,Latitude,Longitude,Casualties
A00001,2024-10-16,3,Night,Clear,Under Construction,Moderate,Bike,40,40.657206,-73.990055,0
A00002,2023-08-17,4,Night,Clear,Icy,Severe,Car,100,41.849056,-87.656058,0
A00003,2024-07-12,2,Night,Clear,Dry,Minor,Bus,30,41.918922,-87.705994,0
A00004,2023-01-31,2,Night,Clear,Dry,Moderate,Truck,80,40.681326,-73.976114,2
A00005,2024-09-08,0,Night,Rain,Dry,Minor,Truck,100,41.848087,-87.582428,0
A00006,2024-10-27,22,Night,Rain,Dry,Minor,Bus,40,41.851418,-87.630076,1
A00007,2024-04-04,18,Evening,Rain,Dry,Moderate,Car,40,33.985791,-118.233857,6
A00008,2024-12-15,13,Afternoon,Clear,Dry,Minor,Bike,40,33.978274,-118.279692,1
A00009,2023-08-09,10,Morning,Clear,Dry,Minor,Car,60,40.741906,-73.961613,2
A00010,2023-04-10,11,Morning,Clear,Dry,Severe,Bike,30,33.976792,-118.188718,0
A00011,2024-04-15,17,Evening,Clear,Dry,Moderate,Bus,30,40.75454,-73.991172,1
A00012,2024-07-19,9,Morning,Fog,Wet,Moderate,Bike,80,41.876309,-87.551568,1
A00013,2023-07-16,22,Night,Clear,Dry,Minor,Car,100,40.641862,-73.953875,2
A00014,2023-08-22,9,Morning,Clear,Wet,Minor,Truck,30,40.702192,-74.027343,0
A00015,2024-01-25,8,Morning,Storm,Icy,Severe,Bike,40,34.065056,-118.227974,0
A00016,2024-01-15,11,Morning,Snow,Dry,Severe,Bike,100,40.697336,-73.972344,0
A00017,2024-11-30,20,Evening,Clear,Dry,Severe,Truck,80,40.580041,-73.988724,0
A00018,2023-09-08,5,Morning,Clear,Dry,Severe,Bus,50,34.062947,-118.344816,1
A00019,2024-10-17,22,Night,Storm,Under Construction,Moderate,Truck,100,41.782161,-87.631126,0
A00020,2023-11-29,1,Night,Clear,Wet,Moderate,Car,50,40.703182,-73.990923,0
A00021,2024-02-15,8,Morning,Rain,Under Construction,Minor,Truck,80,40.769941,-73.968403,0
A00022,2023-11-19,6,Morning,Fog,Dry,Moderate,Bus,60,41.907443,-87.520277,0
A00023,2024-10-20,14,Afternoon,Snow,Dry,Moderate,Bike,40,40.717783,-74.031174,1
A00024,2023-09-10,23,Night,Rain,Dry,Moderate,Bike,100,41.904917,-87.675535,2
A00025,2024-08-21,13,Afternoon,Clear,Dry,Severe,Bus,50,41.860263,-87.601994,2
A00026,2023-08-13,4,Night,Rain,Dry,Minor,Bus,30,41.806098,-87.570264,1
A00027,2023-02-18,3,Night,Snow,Icy,Severe,Truck,100,40.678799,-73.994387,0
A00028,2024-03-08,19,Evening,Snow,Wet,Minor,Bus,60,40.727454,-74.041718,0
A00029,2024-09-02,14,Afternoon,Clear,Dry,Moderate,Bike,80,41.818535,-87.596972,1
A00030,2023-01-12,21,Night,Clear,Wet,Moderate,Car,100,41.899324,-87.582773,1
A00031,2024-07-03,8,Morning,Clear,Dry,Minor,Bike,30,41.874245,-87.612742,3
A00032,2023-10-28,13,Afternoon,Rain,Dry,Minor,Bus,30,40.664649,-73.957141,0
A00033,2023-09-27,16,Afternoon,Rain,Dry,Severe,Car,100,40.706593,-73.968983,3
A00034,2023-11-02,20,Evening,Clear,Icy,Moderate,Truck,40,41.888805,-87.692087,3
A00035,2024-01-18,5,Morning,Rain,Under Construction,Minor,Car,80,41.930971,-87.627232,3
A00036,2023-11-28,15,Afternoon,Clear,Icy,Severe,Car,50,40.738552,-73.813363,3
